soft_pink,#FFC0CB,white,#FFFFFF
baby_blue,#89CFF0,light_beige,#F5F5DC
mint_green,#98FF98,soft_gray,#C0C0C0
lavender,#E6E6FA,navy,#000080
peach,#FFDAB9,taupe,#483C32
cream,#FFFDD0,chocolate,#7B3F00
light_gray,#D3D3D3,sky_blue,#87CEEB
powder_blue,#B0E0E6,mint,#98FF98
pale_yellow,#FFFFE0,blush,#DE5D83
coral,#FF7F50,pale_lavender,#DCD0FF
soft_pink,#FFC0CB,light_beige,#F5F5DC
baby_blue,#89CFF0,white,#FFFFFF
mint_green,#98FF98,navy,#000080
lavender,#E6E6FA,soft_gray,#C0C0C0
peach,#FFDAB9,sky_blue,#87CEEB
cream,#FFFDD0,taupe,#483C32
light_gray,#D3D3D3,chocolate,#7B3F00
powder_blue,#B0E0E6,blush,#DE5D83
pale_yellow,#FFFFE0,mint,#98FF98
coral,#FF7F50,pale_lavender,#DCD0FF
soft_pink,#FFC0CB,navy,#000080
baby_blue,#89CFF0,chocolate,#7B3F00
mint_green,#98FF98,white,#FFFFFF
lavender,#E6E6FA,taupe,#483C32
peach,#FFDAB9,soft_gray,#C0C0C0
cream,#FFFDD0,light_beige,#F5F5DC
light_gray,#D3D3D3,mint,#98FF98
powder_blue,#B0E0E6,blush,#DE5D83
pale_yellow,#FFFFE0,sky_blue,#87CEEB
coral,#FF7F50,white,#FFFFFF
soft_pink,#FFC0CB,soft_gray,#C0C0C0
baby_blue,#89CFF0,pale_lavender,#DCD0FF
mint_green,#98FF98,chocolate,#7B3F00
lavender,#E6E6FA,light_beige,#F5F5DC
peach,#FFDAB9,navy,#000080
cream,#FFFDD0,blush,#DE5D83
light_gray,#D3D3D3,taupe,#483C32
powder_blue,#B0E0E6,sky_blue,#87CEEB
pale_yellow,#FFFFE0,mint,#98FF98
coral,#FF7F50,white,#FFFFFF
soft_pink,#FFC0CB,chocolate,#7B3F00
baby_blue,#89CFF0,light_beige,#F5F5DC
mint_green,#98FF98,blush,#DE5D83
lavender,#E6E6FA,pale_lavender,#DCD0FF
peach,#FFDAB9,soft_gray,#C0C0C0
cream,#FFFDD0,navy,#000080
light_gray,#D3D3D3,white,#FFFFFF
powder_blue,#B0E0E6,taupe,#483C32
pale_yellow,#FFFFE0,chocolate,#7B3F00
coral,#FF7F50,sky_blue,#87CEEB
soft_pink,#FFC0CB,mint,#98FF98
baby_blue,#89CFF0,blush,#DE5D83
mint_green,#98FF98,white,#FFFFFF
lavender,#E6E6FA,light_beige,#F5F5DC
peach,#FFDAB9,pale_lavender,#DCD0FF
cream,#FFFDD0,soft_gray,#C0C0C0
light_gray,#D3D3D3,chocolate,#7B3F00
powder_blue,#B0E0E6,navy,#000080
pale_yellow,#FFFFE0,blush,#DE5D83
coral,#FF7F50,taupe,#483C32
soft_pink,#FFC0CB,sky_blue,#87CEEB
baby_blue,#89CFF0,mint,#98FF98
mint_green,#98FF98,white,#FFFFFF
lavender,#E6E6FA,chocolate,#7B3F00
peach,#FFDAB9,blush,#DE5D83
cream,#FFFDD0,light_beige,#F5F5DC
light_gray,#D3D3D3,pale_lavender,#DCD0FF
powder_blue,#B0E0E6,soft_gray,#C0C0C0
pale_yellow,#FFFFE0,navy,#000080
coral,#FF7F50,white,#FFFFFF
soft_pink,#FFC0CB,taupe,#483C32
baby_blue,#89CFF0,chocolate,#7B3F00
mint_green,#98FF98,sky_blue,#87CEEB
lavender,#E6E6FA,mint,#98FF98
peach,#FFDAB9,blush,#DE5D83
cream,#FFFDD0,white,#FFFFFF
light_gray,#D3D3D3,light_beige,#F5F5DC
powder_blue,#B0E0E6,pale_lavender,#DCD0FF
pale_yellow,#FFFFE0,soft_gray,#C0C0C0
coral,#FF7F50,navy,#000080
soft_pink,#FFC0CB,chocolate,#7B3F00
baby_blue,#89CFF0,blush,#DE5D83
mint_green,#98FF98,taupe,#483C32
lavender,#E6E6FA,sky_blue,#87CEEB
peach,#FFDAB9,mint,#98FF98
cream,#FFFDD0,white,#FFFFFF
light_gray,#D3D3D3,chocolate,#7B3F00
powder_blue,#B0E0E6,blush,#DE5D83
pale_yellow,#FFFFE0,light_beige,#F5F5DC
coral,#FF7F50,pale_lavender,#DCD0FF
soft_pink,#FFC0CB,soft_gray,#C0C0C0
baby_blue,#89CFF0,navy,#000080
mint_green,#98FF98,white,#FFFFFF
lavender,#E6E6FA,taupe,#483C32
peach,#FFDAB9,chocolate,#7B3F00
cream,#FFFDD0,sky_blue,#87CEEB
light_gray,#D3D3D3,mint,#98FF98
powder_blue,#B0E0E6,blush,#DE5D83
pale_yellow,#FFFFE0,white,#FFFFFF
coral,#FF7F50,light_beige,#F5F5DC
soft_pink,#FFC0CB,pale_lavender,#DCD0FF
baby_blue,#89CFF0,soft_gray,#C0C0C0
mint_green,#98FF98,navy,#000080
lavender,#E6E6FA,chocolate,#7B3F00
peach,#FFDAB9,blush,#DE5D83
cream,#FFFDD0,taupe,#483C32
light_gray,#D3D3D3,sky_blue,#87CEEB
powder_blue,#B0E0E6,mint,#98FF98
pale_yellow,#FFFFE0,white,#FFFFFF
coral,#FF7F50,blush,#DE5D83
