burnt_orange,#CC5500,navy,#000080
forest_green,#228B22,beige,#F5F5DC
mustard_yellow,#FFDB58,charcoal_gray,#36454F
cobalt_blue,#0047AB,taupe,#483C32
deep_plum,#673147,chocolate,#7B3F00
brick_red,#CB4154,cream,#FFFDD0
olive,#808000,midnight_blue,#191970
rust,#B7410E,sand,#C2B280
goldenrod,#DAA520,steel_gray,#4682B4
terracotta,#E2725B,forest_green,#228B22
burnt_orange,#CC5500,taupe,#483C32
forest_green,#228B22,chocolate,#7B3F00
mustard_yellow,#FFDB58,navy,#000080
cobalt_blue,#0047AB,cream,#FFFDD0
deep_plum,#673147,beige,#F5F5DC
brick_red,#CB4154,steel_gray,#4682B4
olive,#808000,charcoal_gray,#36454F
rust,#B7410E,forest_green,#228B22
goldenrod,#DAA520,midnight_blue,#191970
terracotta,#E2725B,sand,#C2B280
burnt_orange,#CC5500,chocolate,#7B3F00
forest_green,#228B22,taupe,#483C32
mustard_yellow,#FFDB58,cream,#FFFDD0
cobalt_blue,#0047AB,steel_gray,#4682B4
deep_plum,#673147,navy,#000080
brick_red,#CB4154,forest_green,#228B22
olive,#808000,sand,#C2B280
rust,#B7410E,beige,#F5F5DC
goldenrod,#DAA520,charcoal_gray,#36454F
terracotta,#E2725B,midnight_blue,#191970
burnt_orange,#CC5500,cream,#FFFDD0
forest_green,#228B22,navy,#000080
mustard_yellow,#FFDB58,forest_green,#228B22
cobalt_blue,#0047AB,taupe,#483C32
deep_plum,#673147,chocolate,#7B3F00
brick_red,#CB4154,sand,#C2B280
olive,#808000,steel_gray,#4682B4
rust,#B7410E,beige,#F5F5DC
goldenrod,#DAA520,midnight_blue,#191970
terracotta,#E2725B,charcoal_gray,#36454F
burnt_orange,#CC5500,steel_gray,#4682B4
forest_green,#228B22,cream,#FFFDD0
mustard_yellow,#FFDB58,midnight_blue,#191970
cobalt_blue,#0047AB,charcoal_gray,#36454F
deep_plum,#673147,sand,#C2B280
brick_red,#CB4154,navy,#000080
olive,#808000,beige,#F5F5DC
rust,#B7410E,forest_green,#228B22
goldenrod,#DAA520,chocolate,#7B3F00
terracotta,#E2725B,taupe,#483C32
burnt_orange,#CC5500,sand,#C2B280
forest_green,#228B22,steel_gray,#4682B4
mustard_yellow,#FFDB58,cream,#FFFDD0
cobalt_blue,#0047AB,midnight_blue,#191970
deep_plum,#673147,navy,#000080
brick_red,#CB4154,charcoal_gray,#36454F
olive,#808000,taupe,#483C32
rust,#B7410E,forest_green,#228B22
goldenrod,#DAA520,cream,#FFFDD0
terracotta,#E2725B,sand,#C2B280
burnt_orange,#CC5500,charcoal_gray,#36454F
forest_green,#228B22,midnight_blue,#191970
mustard_yellow,#FFDB58,steel_gray,#4682B4
cobalt_blue,#0047AB,beige,#F5F5DC
deep_plum,#673147,taupe,#483C32
brick_red,#CB4154,navy,#000080
olive,#808000,cream,#FFFDD0
rust,#B7410E,forest_green,#228B22
goldenrod,#DAA520,chocolate,#7B3F00
terracotta,#E2725B,sand,#C2B280
burnt_orange,#CC5500,steel_gray,#4682B4
forest_green,#228B22,cream,#FFFDD0
mustard_yellow,#FFDB58,midnight_blue,#191970
cobalt_blue,#0047AB,charcoal_gray,#36454F
deep_plum,#673147,sand,#C2B280
brick_red,#CB4154,navy,#000080
olive,#808000,beige,#F5F5DC
rust,#B7410E,forest_green,#228B22
goldenrod,#DAA520,chocolate,#7B3F00
terracotta,#E2725B,taupe,#483C32
burnt_orange,#CC5500,sand,#C2B280
forest_green,#228B22,steel_gray,#4682B4
mustard_yellow,#FFDB58,cream,#FFFDD0
cobalt_blue,#0047AB,midnight_blue,#191970
deep_plum,#673147,navy,#000080
brick_red,#CB4154,charcoal_gray,#36454F
olive,#808000,taupe,#483C32
rust,#B7410E,forest_green,#228B22
goldenrod,#DAA520,cream,#FFFDD0
terracotta,#E2725B,sand,#C2B280
burnt_orange,#CC5500,charcoal_gray,#36454F
forest_green,#228B22,midnight_blue,#191970
mustard_yellow,#FFDB58,steel_gray,#4682B4
cobalt_blue,#0047AB,beige,#F5F5DC
deep_plum,#673147,taupe,#483C32
brick_red,#CB4154,navy,#000080
olive,#808000,cream,#FFFDD0
rust,#B7410E,forest_green,#228B22
goldenrod,#DAA520,chocolate,#7B3F00
terracotta,#E2725B,sand,#C2B280
